id,titulo,preco,condominio,metragem,url,area_locavel,iptu,valor_total_mensal,pe_direito,endereco_completo
43,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"11.269,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-11269m2-para-locacao-franco-da-rocha/692665,11269.0,0.75,360624.97,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
44,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"22.539,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-22539m2-para-locacao-franco-da-rocha/692666,22539.0,0.75,721249.94,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
45,LOG Guarulhos Gaiolli - Galpão para Alugar,30.0,4.74,"11.523,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-11523m2-para-locacao-guarulhos/692267,11523.0,1.48,345703.81,,"Avenida Amâncio Gaioli, 426 - Guarulhos"
46,LOG Guarulhos Gaiolli - Galpão para Alugar,30.01,4.74,"2.212,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2212m2-para-locacao-guarulhos/692376,2212.0,1.48,66371.1,,"Avenida Amâncio Gaioli, 426 - Guarulhos"
47,LOG Guarulhos Gaiolli - Galpão para Alugar,30.0,4.74,"4.771,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4771m2-para-locacao-guarulhos/692377,4771.0,1.48,143136.59,,"Avenida Amâncio Gaioli, 426 - Guarulhos"
48,LOG Guarulhos Gaiolli - Galpão para Alugar,30.0,4.74,"6.752,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6752m2-para-locacao-guarulhos/692378,6752.0,1.48,202567.2,,"Avenida Amâncio Gaioli, 426 - Guarulhos"
49,Urdi Castello Branco - Galpão para Alugar,25.0,4.2,"8.183,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-8183m2-para-locacao-santana-de-parnaiba/692451,8183.0,0.2,204577.0,,"Avenida Benedito Crispim de Oliveira, 580 - Santana de Parnaíba"
50,Urdi Castello Branco - Galpão para Alugar,25.0,4.2,"4.965,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4965m2-para-locacao-santana-de-parnaiba/692452,4965.0,0.2,124144.0,,"Avenida Benedito Crispim de Oliveira, 580 - Santana de Parnaíba"
51,Urdi Castello Branco - Galpão para Alugar,25.0,4.2,"13.148,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-13148m2-para-locacao-santana-de-parnaiba/692453,13148.0,0.2,328700.0,,"Avenida Benedito Crispim de Oliveira, 580 - Santana de Parnaíba"
52,Urdi Castello Branco - Galpão para Alugar,25.0,4.2,"18.113,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-18113m2-para-locacao-santana-de-parnaiba/692454,18113.0,0.2,452825.0,,"Avenida Benedito Crispim de Oliveira, 580 - Santana de Parnaíba"
53,GLP Imigrantes - Galpão para Alugar,34.0,2.7,"7.376,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-7376m2-para-locacao-sao-bernardo-do-campo/692675,7376.0,2.55,250816.3,,"Rua dos Imigrantes, 0 - São Bernardo do Campo"
54,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,45.0,6.0,"1.502,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-1502m2-para-locacao-sao-paulo/692730,1502.0,3.0,67590.0,,"Rua Mateo Forte, 216 - São Paulo"
55,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,45.0,6.0,"2.207,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2207m2-para-locacao-sao-paulo/692731,2207.0,3.0,99315.0,,"Rua Mateo Forte, 216 - São Paulo"
56,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,45.0,6.0,"4.424,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4424m2-para-locacao-sao-paulo/692732,4424.0,3.0,199080.0,,"Rua Mateo Forte, 216 - São Paulo"
57,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,45.0,6.0,"5.926,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-5926m2-para-locacao-sao-paulo/692733,5926.0,3.0,266670.0,,"Rua Mateo Forte, 216 - São Paulo"
58,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,45.0,6.0,"2.241,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2241m2-para-locacao-sao-paulo/692734,2241.0,3.0,100845.0,,"Rua Mateo Forte, 216 - São Paulo"
59,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,45.0,6.0,"21.970,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-21970m2-para-locacao-sao-paulo/692735,21970.0,3.0,988650.0,,"Rua Mateo Forte, 216 - São Paulo"
60,GS Espaço Empresarial Park Maginal Lapa III - Galpão para Alugar,43.01,6.0,"3.409,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3409m2-para-locacao-sao-paulo/692736,3409.0,3.25,146626.56,,"Rua Campos Vergueiro, 131 - São Paulo"
61,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,43.0,8.0,"2.557,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2557m2-para-locacao-sao-paulo/692737,2557.0,3.0,109951.0,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo"
62,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,43.0,8.0,"3.052,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3052m2-para-locacao-sao-paulo/692738,3052.0,3.0,131236.0,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo"
63,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,43.0,8.0,"5.609,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-5609m2-para-locacao-sao-paulo/692739,5609.0,3.0,241187.0,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo"
64,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,43.0,8.0,"4.336,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4336m2-para-locacao-sao-paulo/692740,4336.0,3.0,186448.0,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo"
65,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,43.0,8.0,"1.640,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-1640m2-para-locacao-sao-paulo/692741,1640.0,3.0,70520.0,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo"
66,Guarulhos Business Park - Galpão para Alugar,36.0,3.88,"53.322,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-53322m2-para-locacao-guarulhos/604598,53322.0,1.5,1919600.62,,"Estrada Municipal, 253 - Guarulhos"
67,LOG São José do Rio Preto - Galpão para Alugar,25.01,4.4,"4.672,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4672m2-para-locacao-sao-jose-do-rio-preto/692270,4672.0,0.6,116824.5,,"Avenida Percy Gandini, 5305 - São José do Rio Preto"
68,LOG São José do Rio Preto - Galpão para Alugar,25.0,4.4,"4.231,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4231m2-para-locacao-sao-jose-do-rio-preto/692271,4231.0,0.6,105776.0,,"Avenida Percy Gandini, 5305 - São José do Rio Preto"
69,LOG São José do Rio Preto - Galpão para Alugar,25.0,4.4,"3.557,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3557m2-para-locacao-sao-jose-do-rio-preto/692382,3557.0,0.6,88929.25,,"Avenida Percy Gandini, 5305 - São José do Rio Preto"
70,CL Castelo Branco - Galpão para Alugar,39.0,4.0,"58.635,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-58635m2-para-locacao-barueri/692426,58635.0,1.0,2286769.0,,"Rua Jussara, 510 - Barueri"
71,CL Castelo Branco - Galpão para Alugar,39.0,4.0,"24.382,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-24382m2-para-locacao-barueri/692427,24382.0,1.0,950909.69,,"Rua Jussara, 510 - Barueri"
72,CL Castelo Branco - Galpão para Alugar,39.0,4.0,"3.160,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3160m2-para-locacao-barueri/692428,3160.0,1.0,123249.36,,"Rua Jussara, 510 - Barueri"
73,CL Castelo Branco - Galpão para Alugar,39.0,4.0,"6.320,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6320m2-para-locacao-barueri/692429,6320.0,1.0,246498.72,,"Rua Jussara, 510 - Barueri"
74,GLP Bandeirantes I - Galpão para Alugar,32.0,3.15,"86.357,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-86357m2-para-locacao-franco-da-rocha/692667,86357.0,0.75,2763444.75,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
75,GLP Taboão - Galpão para Alugar,36.0,3.9,"10.976,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-10976m2-para-locacao-taboao-da-serra/692679,10976.0,1.0,395163.38,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
